position, player, projection, salary
WR,Washington Nate,7.9,4800
WR,Hunter Justin,7.8,4800
WR,Bryant Dez,7.5,8500
WR,Harris Dwayne,7,4500
WR,Thomas Demaryius,6.8,8700
WR,Hilton T.Y.,6.6,6400
WR,Smith Torrey,6.5,6300
WR,Kerley Jeremy,6.3,4500
WR,Allen Keenan,6.2,7200
WR,Evans Mike,6.2,6000
WR,Beasley Cole,6.2,4500
WR,Thompkins Kenbrell,6.2,4500
WR,Jackson Vincent,5.6,7300
WR,Austin Tavon,5.4,5700
WR,Brown Justin,5.3,4500
WR,Cotchery Jerricho,5.2,4700
WR,Brown Mike,5.1,4800
WR,Cooper Riley,4.9,5900
WR,Matthews Jordan,4.7,5200
WR,Watkins Sammy,4.6,6300
WR,Williams Mike,4.6,5200
WR,Givens Chris,4.4,4900
WR,Johnson Steve,4.3,4900
WR,Jernigan Jerrel,4.3,4800
WR,Ginn Jr. Ted,3.9,4600
WR,Tate Brandon,3.9,4500
WR,Hartline Brian,3.6,4900
WR,Wright Jarius,3.5,4600
WR,Crabtree Michael,3.5,6500
WR,Cruz Victor,3.4,6900
WR,Holmes Santonio,3.1,5400
WR,Amendola Danny,3.1,5400
WR,Austin Miles,3,4800
WR,Baldwin Doug,2.9,4800
WR,Street Devin,2.8,4500
WR,Roberts Andre,2.7,4500
WR,Fitzgerald Larry,2.7,6900
WR,Hammond Frankie,2.7,4500
WR,Caldwell Andre,2.6,4500
WR,Jones Jacoby,2.6,4900
WR,Royal Eddie,2.4,4900
WR,Gabriel Taylor,2.3,4500
WR,Nelson David,2.2,4800
WR,Moore Denarius,1.8,4800
WR,Maehl Jeff,1.7,4500
WR,Salas Greg,1.7,4500
WR,Moncrief Donte,1.4,5000
WR,Hagan Derek,1.4,4500
WR,Morgan Josh,1.4,4500
WR,Gibson Brandon,1.4,4700
WR,Kearse Jermaine,1.3,4500
WR,Spurlock Micheal,1.3,4500
WR,Brown Jaron,1.1,4500
WR,Randle Rueben,1.1,5500
WR,Johnson Damaris,0.6,4500
WR,Avant Jason,0.5,4500
WR,Robinson Allen,0.5,5000
TE,Thomas Julius,31.9,7400
TE,Davis Vernon,18.4,6300
TE,Olsen Greg,18.3,6400
TE,Bennett Martellus,17,5800
TE,Ertz Zach,15.2,4500
TE,Allen Dwayne,14.4,4800
TE,Donnell Larry,14.1,4500
TE,Pitta Dennis,13.3,6200
TE,Graham Jimmy,12.2,8100
TE,Gronkowski Rob,12,8000
TE,Walker Delanie,11.2,4800
TE,Gates Antonio,11.1,5600
TE,Fasano Anthony,10.4,4500
TE,Toilolo Levine,9.4,4500
TE,Rudolph Kyle,8.6,5700
TE,Paul Niles,8.6,4500
TE,Cook Jared,7.6,5700
TE,Myers Brandon,7.1,4600
TE,Cumberland Jeff,7,4500
TE,Lewis Marcedes,6.5,4600
TE,Kelce Travis,6.4,4500
TE,Cameron Jordan,5.7,6500
TE,Miller Zach,5.7,4600
TE,Daniels Owen,5.4,5100
TE,Eifert Tyler,5.2,4700
TE,Fauria Joseph,5.1,4500
TE,Rivera Mychal,4.6,4500
TE,Miller Heath,4.1,5700
TE,Quarless Andrew,4.1,4800
TE,Dray Jim,4,500
TE,Clay Charles,3.7,5800
TE,Fleener Coby,3.6,5400
TE,Thompson Taylor,3.4,4500
TE,Green Ladarius,3.4,4500
TE,Seferian-Jenkins Austin,3.1,4800
TE,Wright Tim,3,4600
TE,Celek Brent,3,4500
TE,Ellison Rhett,2.7,4500
TE,Gresham Jermaine,2.6,4700
TE,Carlson John,2.5,4800
TE,Witten Jason,2.4,6500
TE,Kendricks Lance,2.2,4500
TE,Housler Rob,2.1,4600
TE,Barnidge Gary,1.8,4500
TE,Rosario Dante,1.7,4500
TE,Amaro Jace,1.7,4500
TE,Leonhardt Brian,1.7,4500
TE,Sims Dion,1.4,4500
TE,Pettigrew Brandon,1.4,4600
TE,Green Virgil,1.3,4500
TE,Stocker Luke,1.3,4500
TE,Hoskins Gator,1.2,4500
TE,Fells Daniel,1.2,4500
TE,Griffin Ryan,1.1,4500
TE,Paulsen Logan,1,4500
TE,Reed Jordan,0.9,6100
TE,Harkey Cory,0.9,4500
TE,Willson Luke,0.6,4500
TE,Watson Ben,0.5,4500
K,Bryant Matt,18,5000
K,Nugent Mike,17,4900
K,Succop Ryan,16,4700
K,Sturgis Caleb,15,4600
K,Walsh Blair,13,5000
K,Suisham Shaun,13,4800
K,Carpenter Dan,13,4600
