position, player, projection, salary
DEF,San Diego Defense,9,4700
DEF,Kansas City Defense,8,5000
DEF,Denver Defense,7,4900
DEF,Philadelphia Defense,7,5300
DEF,New York J Defense,7,4600
DEF,New Orleans Defense,6,4600
DEF,Seattle Defense,6,5200
DEF,New England Defense,6,5400
DEF,Arizona Defense,4,5400
DEF,Minnesota Defense,4,4900
DEF,Oakland Defense,3,4500
DEF,Baltimore Defense,3,4900
DEF,Buffalo Defense,2,5200
DEF,Houston Defense,2,5200
DEF,Cleveland Defense,2,4700
DEF,San Francisco Defense,2,5800
DEF,Washington Defense,1,4700
DEF,Tennessee Defense,1,5000
DEF,Carolina Defense,0,5600
DEF,Jacksonville Defense,-2,4500
