position, player, projection, salary
QB,Brees Drew,27.2,9200,15
QB,Ryan Matt,22.1,7900,15
QB,Manning Eli,22,7500,15
QB,Smith Alex,21.58,7200,15
QB,Romo Tony,20.5,8400,15
QB,Brady Tom,20.28,9600,15
QB,Tannehill Ryan,17.94,8000,15
QB,Bridgewater Teddy,17.6,7400,15
QB,Cutler Jay,16.76,8600,15
QB,Anderson Derek,16.48,5000,15
QB,Luck Andrew,16.28,10100,15
QB,Griffin III Robert,16.04,6600,15
QB,Roethlisberger Ben,14.2,8700,15
QB,Flacco Joe,13.64,8100,15
QB,McCown Josh,13.26,7100,15
QB,Manning Peyton,13.02,9700,15
QB,Smith Geno,12.76,6600,15
QB,Wilson Russell,12.42,8800,15
QB,Rivers Philip,11.58,8200,15
QB,Carr Derek,10.88,6900,15
QB,Stafford Matthew,10.32,8500,15
QB,Kaepernick Colin,10.24,6800,15
QB,Whitehurst Charlie,10.02,6400,15
QB,Hill Shaun,9.26,6900,15
QB,Rodgers Aaron,8.1,10200,15
QB,Sanchez Mark,8.08,7500,15
QB,Bortles Blake,7.6,6400,15
QB,Orton Kyle,4.92,7600,15
QB,Stanton Drew,4.66,7000,15
QB,Dalton Andy,3.98,8200,15
QB,McCoy Colt,3.96,6600,15
QB,Locker Jake,2.98,6700,15
QB,Fitzpatrick Ryan,2.8,7000,15
QB,Manziel Johnny,2.5,6700,15
QB,Savage Tom,1.68,5000,15
QB,McCown Luke,0,5000,15
QB,Garoppolo Jimmy,0,5000,15
QB,Osweiler Brock,-0.1,5000,15
QB,Daniel Chase,-0.1,5000,15
RB,Hill Jeremy,27.7,7100,15
RB,Bell Le'Veon,26.4,9600,15
RB,Murray DeMarco,20.9,9300,15
RB,Davis Knile,20.6,5300,15
RB,Asiata Matt,18.1,5800,15
RB,Lacy Eddie,17.8,8400,15
RB,Lynch Marshawn,16.3,8700,15
RB,Foster Arian,13.2,8900,15
RB,Polk Chris,12.6,5000,15
RB,Bell Joique,12.3,7500,15
RB,Thomas Pierre,11.9,5700,15
RB,Ingram Mark,11.9,7400,15
RB,Bernard Giovani,11.8,6900,15
RB,Jackson Fred,11.3,6600,15
RB,Forte Matt,10.9,9000,15
RB,Anderson C.J.,10.6,8000,15
RB,Martin Doug,10.4,5300,15
RB,Williams Kerwynn,9.6,5300,15
RB,Blount LeGarrette,9.4,6500,15
RB,Sims Charles,9.4,5100,15
RB,Ivory Chris,9.1,5200,15
RB,Oliver Branden,9,4800,15
RB,Gore Frank,8.9,5300,15
RB,Murray Latavius,8.6,6500,15
RB,Thomas De'Anthony,8.4,4700,15
RB,Sproles Darren,8.3,5300,15
RB,Vereen Shane,8.2,5700,15
RB,Herron Dan,8.2,6300,15
RB,Miller Bruce,8,4700,15
RB,Redd Silas,7.8,5100,15
RB,Brown Donald,7.6,4700,15
RB,Burkhead Rex,7.4,4500,15
RB,Gray Jonas,7.4,5300,15
RB,Conner John,7.4,4500,15
RB,Gerhart Toby,7.3,4600,15
RB,McCoy LeSean,7,8100,15
RB,Greene Shonn,6.8,4600,15
RB,Brown Bryce,6.5,5200,15
