position, player, projection, salary
WR,Cruz Victor,3.7,7000
WR,White Roddy,3.6,7200
WR,Brown Mike,3.6,4500
WR,Benjamin Kelvin,3.3,7100
WR,Garcon Pierre,3.3,7000
WR,Moore Lance,3.1,4700
WR,Bailey Stedman,3,4700
WR,Hester Devin,2.9,6600
WR,Janis Jeff,2.6,4500
WR,Bersin Brenton,2.6,4500
WR,LaFell Brandon,2.5,4500
WR,Harris Dwayne,2.5,4500
WR,Wheaton Markus,2.2,5300
WR,Sanders Ace,2.2,4500
WR,Salas Greg,2.2,4900
WR,Crabtree Michael,2.1,6700
WR,Dobson Aaron,2.1,4800
WR,Stills Kenny,2.1,4600
WR,Ross Jeremy,1.8,5100
WR,Patterson Cordarrelle,1.8,6500
WR,Ajirotutu Seyi,1.6,4500
WR,Jones Jacoby,1.5,4500
WR,Nelson David,1.4,4500
WR,Brown John,1.4,5900
WR,Williams Mike,1.3,5300
WR,Aiken Kamar,1.3,4600
WR,Floyd Michael,1.2,6400
WR,Fuller Corey,1.2,4500
WR,Amendola Danny,1.2,4700
WR,Martin Keshawn,1.2,4500
WR,Johnson Calvin,1.2,8900
WR,Holmes Santonio,1.1,4500
TE,Olsen Greg,22.2,5900
TE,Thomas Julius,21.6,8000
TE,Gates Antonio,20,5700
TE,Gronkowski Rob,19,7600
TE,Wright Tim,17,4500
TE,Allen Dwayne,13.9,5500
TE,Dray Jim,10,4500
TE,Daniels Owen,9.5,5100
TE,Kelce Travis,8.5,5300
TE,Witten Jason,7.9,6000
TE,Watson Ben,6.8,4500
TE,Hill Josh,6.8,4800
TE,Walker Delanie,6.7,6400
TE,Gragg Chris,6.7,4500
TE,Palmer Michael,6.6,4500
TE,Cook Jared,6.4,5400
TE,Miller Heath,6.1,5900
TE,Ertz Zach,5.4,5400
TE,Fasano Anthony,5.2,5000
TE,Cameron Jordan,4.8,6000
TE,Graham Jimmy,4.6,7900
TE,Ford Chase,4.6,4500
TE,Willson Luke,4.3,4500
TE,Helfet Cooper,4.1,4500
TE,Chandler Scott,4.1,5000
TE,Harbor Clay,3.7,5000
TE,Rosario Dante,3.5,4500
TE,Fleener Coby,3.5,5600
TE,Amaro Jace,3.4,4800
TE,Bennett Martellus,3.2,7300
TE,Celek Brent,3,4500
TE,Carlson John,2.9,4800
TE,Quarless Andrew,2.9,4900
TE,Kendricks Lance,2.7,4900
TE,Carrier Derek,2.6,4600
TE,Dickson Ed,2.6,4600
K,Gostkowski Stephen,21,5400
K,Dawson Phil,20,5200
K,Brown Josh,15,5000
K,McManus Brandon,13,4900
K,Graham Shayne,12,4500
K,Carpenter Dan,12,5000
K,Hauschka Steven,11,5200
K,Parkey Cody,10,4900
K,Scobee Josh,10,4500
K,Cundiff Billy,10,4600
K,Bailey Dan,9,5500
K,Catanzaro Chandler,9,5200
K,Murray Patrick,9,4500
K,Tucker Justin,9,5300
K,Bryant Matt,8,4900
K,Vinatieri Adam,8,5500
