position, player, projection, salary
QB,Fitzpatrick Ryan,39.32,5000,13
QB,Luck Andrew,33.8,10100,13
QB,Brees Drew,30.28,9000,13
QB,Rivers Philip,28.22,7900,13
QB,Roethlisberger Ben,28.2,8300,13
QB,McCoy Colt,26.88,6000,13
QB,Rodgers Aaron,24.92,9900,13
QB,Flacco Joe,23.3,7800,13
QB,Ryan Matt,21.84,7500,13
QB,Stafford Matthew,21.6,8300,13
QB,Sanchez Mark,21.48,7600,13
QB,Hill Shaun,21.42,6200,13
QB,Bortles Blake,18.56,6200,13
QB,Brady Tom,17.7,9800,13
QB,Cutler Jay,17.1,8400,13
QB,Wilson Russell,16.94,8700,13
QB,Newton Cam,15.66,7900,13
QB,Dalton Andy,14.74,8000,13
QB,Bridgewater Teddy,14.72,6900,13
QB,Stanton Drew,14.46,6500,13
QB,Smith Alex,13.72,7100,13
QB,Manning Peyton,12.56,10000,13
QB,Mettenberger Zach,11.16,7000,13
QB,Manning Eli,9.88,7200,13
QB,Manziel Johnny,9.82,5000,13
QB,Tannehill Ryan,9.7,8600,13
QB,Orton Kyle,9.6,7500,13
QB,McCown Josh,6.6,7700,13
QB,Romo Tony,5.86,8700,13
QB,Hoyer Brian,5.68,6900,13
QB,Carr Derek,5.02,6600,13
QB,Kaepernick Colin,4.54,7400,13
QB,Locker Jake,3.64,6000,13
QB,Smith Geno,3.5,5000,13
QB,Davis Austin,0,6000,13
QB,McCown Luke,0,5000,13
QB,Savage Tom,-0.2,5000,13
QB,Schaub Matt,-0.72,5000,13
RB,Mason Tre,35.9,6000,13
RB,Bell Le'Veon,35.4,9200,13
RB,Anderson C.J.,25.5,7800,13
RB,Bell Joique,23.7,6300,13
RB,Jennings Rashad,22.9,7100,13
RB,Murray DeMarco,20.3,9000,13
RB,McCoy LeSean,19.9,8000,13
RB,Foster Arian,19,8700,13
RB,Herron Dan,14.6,5800,13
RB,Helu Roy,14.6,5100,13
RB,Charles Jamaal,13.9,9300,13
RB,Miller Lamar,13.7,6800,13
RB,Forsett Justin,13.3,7600,13
RB,Ingram Mark,13.1,7900,13
RB,Martin Doug,12.6,5100,13
RB,Lacy Eddie,12.5,8800,13
RB,Turbin Robert,12.5,4600,13
RB,Stewart Jonathan,12,5000,13
RB,Lynch Marshawn,11.6,8600,13
RB,Jackson Fred,11.2,6400,13
RB,Mathews Ryan,11.1,7000,13
RB,Johnson Chris,10.5,5500,13
RB,Jackson Steven,10.1,6200,13
RB,Morris Alfred,9.8,7800,13
RB,Forte Matt,8.8,9400,13
RB,Taylor Stepfan,8.8,5200,13
RB,Riddick Theo,8.4,5800,13
RB,Bolden Brandon,7.7,4500,13
RB,Asiata Matt,7.7,5800,13
RB,Sims Charles,7.5,5000,13
RB,Hyde Carlos,7.2,4900,13
RB,Hill Jeremy,7.2,7200,13
RB,Reece Marcel,7,4700,13
RB,Robinson Denard,6.9,7200,13
RB,Lorig Erik,6.9,4600,13
RB,Ivory Chris,6.2,5800,13
RB,Rainey Bobby,6.2,5500,13
RB,Jones-Drew Maurice,5.9,4700,13
RB,Blount LeGarrette,5.8,7000,13
RB,Bernard Giovani,5.8,8200,13
RB,Grice Marion,5.5,4900,13
