position, player, projection, salary
QB,Newton Cam,35.34,7800,14
QB,Ryan Matt,32.3,7900,14
QB,Wilson Russell,29.32,8500,14
QB,Roethlisberger Ben,27.9,8400,14
QB,Rodgers Aaron,27.88,10400,14
QB,Cutler Jay,27.54,8300,14
QB,Dalton Andy,26.28,7900,14
QB,Luck Andrew,25.46,10300,14
QB,Flacco Joe,25.36,7800,14
QB,Stafford Matthew,24.24,8300,14
QB,Carr Derek,22.36,6300,14
QB,Orton Kyle,22.3,7300,14
QB,Brady Tom,20.38,9600,14
QB,Bridgewater Teddy,20.06,7100,14
QB,Romo Tony,20,8300,14
QB,Smith Alex,17.32,7100,14
QB,Stanton Drew,17.26,6800,14
QB,Smith Geno,16.46,6200,14
QB,Hill Shaun,16.42,6700,14
QB,McCown Josh,14.8,7400,14
QB,Tannehill Ryan,13.68,8600,14
QB,Manning Eli,13.4,7300,14
QB,Fitzpatrick Ryan,13.3,7200,14
QB,Brees Drew,13,9400,14
QB,Bortles Blake,12.2,6400,14
QB,Kaepernick Colin,11.56,7200,14
QB,Sanchez Mark,11.54,7700,14
QB,Rivers Philip,11.36,8200,14
QB,McCoy Colt,7.06,6800,14
QB,Locker Jake,5.04,6800,14
QB,Manning Peyton,4.72,10000,14
QB,Hoyer Brian,3.9,6700,14
QB,Mettenberger Zach,1.9,6800,14
QB,Griffin III Robert,1.32,6800,14
QB,Jackson Tarvaris,0,5000,14
QB,Schaub Matt,0,5000,14
QB,Anderson Derek,0,5000,14
QB,McCown Luke,0,5000,14
QB,Barkley Matt,0,5000,14
QB,Webb Joe,0,5000,14
QB,Nassib Ryan,-0.3,5000,14
QB,Campbell Jason,-0.9,5000,14
RB,Bell Le'Veon,44.5,9300,14
RB,Murray DeMarco,33.3,8800,14
RB,Bell Joique,27.8,6800,14
RB,Lacy Eddie,25.1,8500,14
RB,Charles Jamaal,24.1,9200,14
RB,Anderson C.J.,23.8,7800,14
RB,Williams Andre,22.2,6500,14
RB,Foster Arian,21.8,8700,14
RB,Stewart Jonathan,21.5,5200,14
RB,Forte Matt,20,9100,14
RB,Lynch Marshawn,17.8,8600,14
RB,Starks James,17.1,5300,14
RB,Reece Marcel,16.1,4800,14
RB,Forsett Justin,14.8,7400,14
RB,Jackson Steven,14.6,6600,14
RB,Jackson Fred,12.2,6500,14
RB,Crowell Isaiah,11.4,6500,14
RB,Miller Lamar,11.4,6700,14
RB,Whittaker Fozzy,9.6,5000,14
RB,Murray Latavius,9.5,6700,14
RB,Herron Dan,9.1,6400,14
RB,Blount LeGarrette,8.7,6700,14
RB,Thompson Juwan,8.2,5100,14
RB,Hill Jeremy,8.2,7300,14
RB,Asiata Matt,7.9,5700,14
RB,Randle Joseph,7.7,5100,14
RB,Johnson Chris,7.6,5200,14
RB,Blue Alfred,7.5,5200,14
RB,Brown Donald,7.4,4700,14
RB,Miller Bruce,7.3,4500,14
RB,Cunningham Benny,7.3,4800,14
RB,Thomas Pierre,7.2,6100,14
RB,Mason Tre,6.6,7200,14
RB,Gore Frank,6.3,5700,14
RB,Ivory Chris,6.2,5300,14
RB,Felton Jerome,6,4500,14
RB,Taliaferro Lorenzo,6,5000,14
RB,Redd Silas,5.9,5200,14
RB,West Terrance,5.4,5300,14
RB,Bush Reggie,5.4,6000,14
RB,Mathews Ryan,5.3,7100,14
RB,Bernard Giovani,5.1,7300,14
RB,Pierce Bernard,5,5100,14
RB,Vereen Shane,4.6,5900,14
RB,Ingram Mark,4.6,7700,14
RB,Gerhart Toby,4.5,4500,14
RB,Hughes Robert,4,4600,14
RB,Rodgers Jacquizz,3.9,4900,14
RB,Sankey Bishop,3.7,5400,14
RB,Brown Bryce,3.5,5400,14
RB,Michael Christine,3.2,4800,14
RB,Taylor Stepfan,3.1,5500,14
RB,Richardson Trent,3,5600,14
RB,Robinson Denard,3,6700,14
RB,McCoy LeSean,3,8400,14
RB,Washington Leon,2.9,4800,14
RB,Cadet Travaris,2.8,4900,14
RB,Jennings Rashad,2.7,7400,14
RB,Martin Doug,2.7,5400,14
RB,Banyard Joe,2.6,4500,14
RB,Turbin Robert,2.6,4800,14
RB,Sims Charles,2.5,5300,14
RB,Davis Knile,2.2,5700,14
RB,Morris Alfred,2.2,7500,14
RB,Todman Jordan,2.1,4600,14
RB,McCluster Dexter,2,5100,14
RB,Sherman Anthony,1.8,4500,14
RB,Freeman Devonta,1.8,4800,14
RB,Hyde Carlos,1.7,5000,14
RB,Williams Damien,1.6,4500,14
RB,Thomas De'Anthony,1.6,4800,14
RB,Kuhn John,1.5,4600,14
RB,Tate Ben,1.5,5400,14
RB,Dixon Anthony,1.5,5200,14
RB,DiMarco Patrick,1.4,4600,14
RB,Juszczyk Kyle,1.3,4600,14
RB,Gray Jonas,0.9,5800,14
RB,Lorig Erik,0.9,4700,14
RB,Powell Bilal,0.6,4500,14
RB,Grice Marion,0.6,5000,14
RB,Ta'ufo'ou Will,0.5,4500,14
RB,McFadden Darren,0.5,5200,14
RB,Winn George,0.2,4500,14
RB,Oliver Branden,0.1,4800,14
RB,Dunbar Lance,0,4800,14
RB,Develin James,0,4500,14
RB,Smith Alfonso,0,4500,14
RB,Carey Ka'Deem,0,4500,14
RB,Burkhead Rex,0,4500,14
RB,Collins Jed,0,4600,14
RB,Agnew Ray,0,4500,14
RB,Darkwa Orleans,0,4500,14
RB,Johnson Will,0,4700,14
RB,Young Darrel,0,4800,14
RB,Riddick Theo,0,5900,14
RB,Watts Trey,0,4500,14
RB,Polk Chris,0,5000,14
RB,Thomas Daniel,0,5100,14
