position, player, projection, salary,week
QB,Rodgers Aaron,34.92,9100,3
QB,Dalton Andy,31.32,7100,3
QB,Newton Cam,29.9,7900,3
QB,Taylor Tyrod,24.28,7000,3
QB,Ryan Matt,23.1,8300,3
QB,Brady Tom,22.72,8700,3
QB,Flacco Joe,21.48,8100,3
QB,Mariota Marcus,20.68,7300,3
QB,McCown Josh,20.64,6000,3
QB,Carr Derek,20.46,6600,3
QB,Smith Alex,19.9,6500,3
QB,Manning Peyton,19.86,8200,3
QB,Palmer Carson,19.54,8100,3
QB,Manning Eli,19.16,8000,3
QB,Tannehill Ryan,18.78,8000,3
QB,Luck Andrew,18.5,9000,3
QB,Fitzpatrick Ryan,17.62,6800,3
QB,Bortles Blake,17.38,6700,3
QB,Cousins Kirk,16.64,6200,3
QB,Wilson Russell,16.2,8400,3
QB,Winston Jameis,13.44,6500,3
QB,Mallett Ryan,12.02,6300,3
QB,McCown Luke,11.4,5200,3
QB,Stafford Matthew,11.08,7400,3
QB,Rivers Philip,10.84,7700,3
QB,Kaepernick Colin,9.28,7900,3
QB,Bradford Sam,8.52,7200,3
QB,Weeden Brandon,8.28,6500,3
QB,Foles Nick,7.88,6500,3
QB,Roethlisberger Ben,6.68,8500,3
QB,Clemens Kellen,6.52,5200,3
QB,Clausen Jimmy,3.82,5300,3
QB,Bridgewater Teddy,3.74,6800,3
QB,Vick Michael,1.32,6000,3
QB,Webb Joe,0,4800,3
QB,Manuel E.J.,-0.2,5500,3
QB,Garoppolo Jimmy,-0.2,5000,3
QB,Stanton Drew,-0.3,5200,3
RB,Freeman Devonta,39.8,6500,3
RB,Randle Joseph,29.5,6500,3
RB,Charles Jamaal,28.7,8700,3
RB,Blount LeGarrette,27.7,5900,3
RB,Johnson Chris,27.5,6200,3
RB,Peterson Adrian,24.6,8900,3
RB,Bell Le'Veon,22.7,8800,3
RB,Gore Frank,21.9,7000,3
RB,Murray Latavius,21.4,7000,3
RB,Blue Alfred,19.9,5300,3
RB,Thompson Chris,18.6,4800,3
RB,Ingram Mark,18.4,7900,3
RB,Mathews Ryan,17.8,5500,3
RB,Sproles Darren,17.6,5400,3
RB,Williams Karlos,17,5300,3
RB,Dunbar Lance,15.5,4900,3
RB,Lewis Dion,15.2,6700,3
RB,Andrews Antonio,12.6,4500,3
RB,Sims Charles,12.2,5600,3
RB,Abdullah Ameer,11.2,6000,3
RB,Powell Bilal,11,5200,3
RB,Riddick Theo,10.6,4700,3
RB,Lacy Eddie,10.2,7700,3
RB,Bernard Giovani,9.8,7200,3
RB,McFadden Darren,9.5,6300,3
RB,McCoy LeSean,9.1,7500,3
RB,Robinson Khiry,9,4900,3
RB,Williams Andre,8.9,5400,3
RB,Hillman Ronnie,8.1,6200,3
RB,Miller Lamar,8,6600,3
RB,Forte Matt,7.4,8400,3
RB,Jennings Rashad,7.2,6200,3
RB,Bell Joique,6.9,5800,3
RB,Hyde Carlos,6.6,7800,3
RB,Johnson Duke,6.5,5600,3
RB,Reece Marcel,6.1,4800,3
RB,Murphy Marcus,6,4500,3
RB,Tolbert Mike,5.9,4800,3
RB,Woodhead Danny,5.8,6400,3
RB,Grimes Jonathan,5.8,4500,3
RB,Johnson David,5.6,6000,3
RB,Starks James,5.6,6500,3
RB,White James,5.4,5000,3
RB,Stewart Jonathan,5.2,6500,3
RB,Yeldon T.J.,5.2,6600,3
RB,Sankey Bishop,5.1,6300,3
RB,Gordon Melvin,5.1,6700,3
RB,Forsett Justin,4.9,7200,3
RB,Gray Jonas,4.9,4800,3
RB,McCluster Dexter,4.7,5400,3
RB,Martin Doug,4.6,6600,3
RB,Cunningham Benny,4,5400,3
RB,Crowell Isaiah,3.6,6600,3
RB,Mason Tre,3.6,6500,3
RB,Spiller C.J.,3.6,6000,3
RB,Anderson C.J.,3.2,7300,3
RB,Jackson Fred,3.2,6000,3
RB,Lynch Marshawn,2.8,8700,3
RB,Williams Damien,2.7,5700,3
RB,Rodgers Jacquizz,2.6,4500,3
RB,Oliver Branden,2.6,4700,3
RB,Asiata Matt,2.5,4900,3
WR,Green A.J.,39.7,8000,3
WR,Smith Steve,37.1,7100,3
WR,Jones Julio,34.4,9000,3
WR,Cobb Randall,31.8,8200,3
WR,Allen Keenan,31.3,7600,3
WR,Fitzgerald Larry,29.9,6700,3
WR,Matthews Rishard,26.3,5700,3
WR,Maclin Jeremy,24.1,6500,3
WR,Jones James,23.4,5700,3
WR,Randle Rueben,21.1,5400,3
WR,Wright Kendall,20.3,5900,3
WR,Hopkins DeAndre,20.1,7800,3
WR,Marshall Brandon,19.9,7400,3
WR,Jones Marvin,17.9,5000,3
WR,Thomas Demaryius,17.7,8400,3
WR,Beckham Jr. Odell,17.4,9100,3
WR,Brown Antonio,16.3,9300,3
WR,Cooper Amari,15.4,6900,3
WR,Hurns Allen,14,5100,3
WR,Britt Kenny,13.7,5400,3
WR,Evans Mike,13.6,7400,3
WR,Landry Jarvis,12.6,7600,3
WR,Edelman Julian,12.5,7700,3
WR,Amendola Danny,12.4,4600,3
WR,Kerley Jeremy,12.3,4500,3
WR,Hartline Brian,12.1,4500,3
WR,Hogan Chris,11.7,4500,3
WR,Sanders Emmanuel,11.7,8100,3
WR,Harvin Percy,11.7,5600,3
WR,Johnson Calvin,11.7,8200,3
WR,Cooks Brandin,11.4,7000,3
WR,Hilton T.Y.,11.4,7600,3
WR,Ginn Jr. Ted,11.3,5200,3
WR,Dorsett Phillip,11.3,5200,3
WR,Moncrief Donte,11.2,6000,3
WR,Martin Keshawn,10.8,4500,3
WR,Kearse Jermaine,10.6,5400,3
WR,Benjamin Travis,10.5,5600,3
WR,Crowder Jamison,9.5,4500,3
WR,Green-Beckham Dorial,9.2,5000,3
WR,Garcon Pierre,8.9,5900,3
WR,Shorts Cecil,8.8,5200,3
WR,Robinson Allen,8.8,6600,3
WR,Montgomery Ty,8.4,4700,3
WR,Floyd Malcom,8.3,5300,3
WR,Tate Golden,8.2,6800,3
WR,Matthews Jordan,7.9,7100,3
WR,Brown John,7.7,6000,3
WR,Murphy Louis,7.6,5100,3
WR,Enunwa Quincy,7.5,4500,3
WR,Beasley Cole,6.9,5400,3
WR,Snead Willie,6.9,4700,3
WR,Holmes Andre,6.8,5200,3
WR,Colston Marques,6.7,5300,3
WR,Wallace Mike,6.4,5800,3
WR,Austin Tavon,6.3,5300,3
WR,Washington Nate,6.2,5300,3
WR,Parker DeVante,6.1,4900,3
WR,Johnson Steve,6.1,5900,3
WR,Lockett Tyler,6,5000,3
WR,Hankerson Leonard,6,5700,3
WR,Woods Robert,5.8,5300,3
WR,Crabtree Michael,5.6,6000,3
WR,Smith Devin,5.4,4600,3
WR,Baldwin Doug,5,6000,3
WR,Jackson Vincent,5,7200,3
WR,Watkins Sammy,4.4,6800,3
WR,Sanu Mohamed,4.4,4800,3
WR,Gabriel Taylor,4.3,4500,3
WR,Wright Jarius,4.3,5100,3
WR,Norwood Jordan,4.2,4500,3
WR,Brown Marlon,3.9,4500,3
TE,Olsen Greg,29.4,5900,3
TE,Barnidge Gary,19.5,4500,3
TE,Graham Jimmy,17.8,6300,3
TE,Clay Charles,16.7,4900,3
TE,Kelce Travis,13,6400,3
TE,Reed Jordan,12.6,5300,3
TE,Gronkowski Rob,12.1,8400,3
TE,Harbor Clay,11.8,4500,3
TE,Daniels Owen,11.3,4700,3
TE,Walker Delanie,10.3,5200,3
TE,Witten Jason,9.5,6000,3
TE,Ebron Eric,8.1,5100,3
TE,Fleener Coby,7.1,4900,3
TE,Williams Maxx,5.9,4500,3
TE,Phillips John,5.5,4500,3
TE,Gillmore Crockett,5.5,5400,3
TE,Donnell Larry,4.7,5400,3
TE,Doyle Jack,4.7,4500,3
TE,Celek Garrett,4.4,4500,3
TE,Gresham Jermaine,4.4,5300,3
TE,Fells Daniel,4.2,4500,3
TE,Watson Ben,4.2,4500,3
TE,Ertz Zach,4,5200,3
TE,Stevens Craig,3.9,4500,3
TE,Bennett Martellus,3.5,5600,3
TE,Chandler Scott,3.5,4900,3
TE,Myers Brandon,3.3,4500,3
TE,Cameron Jordan,3.1,5400,3
TE,Green Virgil,3.1,4700,3
TE,Fasano Anthony,3.1,5000,3
TE,Toilolo Levine,3.1,4500,3
TE,Dickson Ed,2.9,4500,3
TE,Boyle Nick,2.9,4500,3
TE,Miller Heath,2.7,5800,3
K,Gostkowski Stephen,17,5000,3
