position, player, projection, salary,week
QB,Brady Tom,27.62,8400,1
QB,Palmer Carson,25.68,7700,1
QB,Mariota Marcus,24.96,7100,1
QB,Romo Tony,24.14,8700,1
QB,Smith Alex,23.22,6600,1
QB,Rodgers Aaron,23.06,9700,1
QB,Rivers Philip,21.96,8100,1
QB,Luck Andrew,19.72,9200,1
QB,Roethlisberger Ben,19.04,8600,1
QB,Foles Nick,18.98,6400,1
QB,Dalton Andy,18.86,7100,1
QB,Ryan Matt,18.62,8800,1
QB,Brees Drew,17.5,8900,1
QB,Winston Jameis,16.2,6900,1
QB,Wilson Russell,16.14,8800,1
QB,Taylor Tyrod,15.9,5000,1
QB,Stafford Matthew,15.74,7800,1
QB,Bradford Sam,15.44,7500,1
QB,Cutler Jay,15.1,7900,1
QB,Fitzpatrick Ryan,14.06,6800,1
QB,Newton Cam,13.5,8400,1
QB,Bortles Blake,11.92,6400,1
QB,Tannehill Ryan,11.74,8000,1
QB,Kaepernick Colin,10.7,7900,1
QB,McGloin Matt,10.68,5300,1
QB,Mallett Ryan,10.52,6500,1
QB,Hoyer Brian,10.44,6500,1
QB,Bridgewater Teddy,9.84,7200,1
QB,Manziel Johnny,9.78,5900,1
QB,Cousins Kirk,9.74,6000,1
QB,Manning Eli,8.52,8300,1
QB,Manning Peyton,5.9,9100,1
QB,Carr Derek,3.24,6300,1
QB,Flacco Joe,2.68,8200,1
QB,Griffin Ryan,2.3,4500,1
QB,McCown Josh,2.26,6300,1
QB,Cassel Matt,0,6600,1
QB,McCown Luke,0,5400,1
QB,Webb Joe,0,5000,1
QB,Mettenberger Zach,-0.5,5800,1
RB,Hyde Carlos,31.2,7300,1
RB,Forte Matt,25.1,8800,1
RB,Ivory Chris,22.5,6400,1
RB,Sankey Bishop,21.6,6300,1
RB,Woodhead Danny,20.2,6000,1
RB,Charles Jamaal,18.8,8900,1
RB,Hill Jeremy,18.3,8600,1
RB,Abdullah Ameer,17.4,5900,1
RB,Lacy Eddie,16.9,8500,1
RB,Ingram Mark,16.2,7800,1
RB,Reece Marcel,16.1,5000,1
RB,Sproles Darren,16.1,5800,1
RB,Murray DeMarco,16,8500,1
RB,Lynch Marshawn,14.9,8600,1
RB,Cunningham Benny,14.2,5100,1
RB,Lewis Dion,14,4500,1
RB,Williams DeAngelo,13.7,7600,1
RB,Randle Joseph,12.2,6900,1
RB,Ellington Andre,12.1,7900,1
RB,Morris Alfred,12.1,7400,1
RB,Johnson David,12,5300,1
RB,Bernard Giovani,11.8,7200,1
RB,Williams Karlos,11.5,4500,1
RB,Murray Latavius,11.5,7400,1
RB,Jennings Rashad,11.2,6600,1
RB,Dunbar Lance,11,5000,1
RB,Riddick Theo,10.7,4700,1
RB,Mathews Ryan,10.3,5900,1
RB,McCoy LeSean,10.2,8400,1
RB,Stewart Jonathan,10.1,7100,1
RB,Robinson Khiry,9.5,5000,1
RB,Powell Bilal,8.8,5200,1
RB,Yeldon T.J.,8.2,7000,1
RB,Vereen Shane,8,6500,1
RB,Coleman Tevin,8,6700,1
RB,Miller Lamar,8,7300,1
RB,Forsett Justin,7.6,7800,1
RB,Anderson C.J.,6.8,8400,1
RB,Johnson Will,6.7,4500,1
RB,Peterson Adrian,6.7,9200,1
RB,Gordon Melvin,6.2,7100,1
RB,Freeman Devonta,6.2,6500,1
RB,Dixon Anthony,6.1,4600,1
RB,Martin Doug,5.9,6900,1
RB,Robinson Denard,5.5,5800,1
RB,Blue Alfred,5.4,5800,1
RB,Bell Joique,5.1,6500,1
RB,Sims Charles,4.5,6200,1
RB,Crowell Isaiah,4.3,6100,1
RB,Asiata Matt,4.2,5100,1
RB,Hillman Ronnie,4.1,5400,1
RB,Gore Frank,4.1,7500,1
RB,McFadden Darren,4,6600,1
RB,Olawale Jamize,4,4500,1
RB,Allen Javorius,3.9,5400,1
RB,McKinnon Jerick,3.8,5700,1
RB,Johnson Chris,3.7,4500,1
RB,Juszczyk Kyle,3.7,4500,1
RB,Polk Chris,3.6,4900,1
RB,Grimes Jonathan,3.5,4500,1
RB,Jackson Fred,3.4,6200,1
RB,Davis Knile,3.3,6000,1
RB,Burkhead Rex,2.9,4500,1
RB,Jones Matt,2.8,5500,1
RB,Oliver Branden,2.6,5600,1
RB,Varga Tyler,2.5,4500,1
RB,Tolbert Mike,2.3,5000,1
RB,Jones Taiwan,2.3,4500,1
RB,Johnson Duke,2.2,5800,1
RB,West Terrance,2.1,5500,1
RB,Rainey Bobby,1.9,5000,1
RB,Johnson Austin,1.9,4500,1
RB,Bolden Brandon,1.8,6500,1
RB,Rodgers Jacquizz,1.6,4500,1
RB,Whittaker Fozzy,1.5,5100,1
RB,Williams Andre,1.4,5500,1
RB,Thompson Chris,1.1,5000,1
RB,Robinson Josh,1.1,4600,1
RB,Grant Corey,1,4500,1
RB,Pierce Bernard,0.9,4700,1
RB,Williams Damien,0.8,5500,1
RB,Bush Reggie,0.8,5500,1
RB,McCluster Dexter,0.8,5200,1
RB,Zenner Zach,0.6,4500,1
RB,Hayne Jarryd,0.5,4500,1
RB,Young Darrel,0.5,4500,1
RB,Sherman Anthony,0.5,4500,1
RB,Rawls Thomas,0.5,4500,1
RB,Draughn Shaun,0.4,4500,1
RB,Bohanon Tommy,0.2,4500,1
RB,Coleman Derrick,0.2,4500,1
RB,Starks James,0.2,5400,1
RB,Langford Jeremy,0.1,4500,1
WR,Jones Julio,30.6,9000,1
WR,Hopkins DeAndre,28.3,7800,1
WR,Allen Keenan,24.1,7900,1
WR,Brown Antonio,23.8,9300,1
WR,Jones James,19.1,4500,1
WR,Wright Kendall,18.1,5800,1
WR,Harvin Percy,17.3,5600,1
WR,Johnson Steve,17.2,4700,1
WR,Landry Jarvis,16.7,6900,1
WR,Benjamin Travis,16.4,4600,1
WR,Edelman Julian,16.1,7700,1
WR,Marshall Brandon,15.2,7400,1
WR,Matthews Jordan,15.2,6800,1
WR,Austin Tavon,14.5,4700,1
WR,Moncrief Donte,13.6,4800,1
WR,Washington Nate,13.5,4500,1
WR,Brown John,12.6,6000,1
WR,Cotchery Jerricho,12.5,4600,1
WR,Greene Rashad,12.3,4500,1
WR,Cobb Randall,12.3,8400,1
WR,Hilton T.Y.,12.3,7800,1
WR,Coleman Brandon,12.1,4500,1
WR,Fitzgerald Larry,11.7,6000,1
WR,Kearse Jermaine,11.6,5300,1
WR,Lockett Tyler,11.4,4800,1
WR,Matthews Rishard,11.4,4500,1
WR,Decker Eric,10.7,6000,1
WR,Sanders Emmanuel,10.5,8200,1
WR,White Roddy,10.4,7600,1
WR,Garcon Pierre,10.4,5500,1
WR,Jeffery Alshon,10.3,8400,1
WR,Thomas Demaryius,9.5,8800,1
WR,Douglas Harry,9.4,4600,1
WR,Wallace Mike,9.3,6400,1
WR,Wheaton Markus,9,5700,1
WR,Green A.J.,8.8,8300,1
WR,Williams Terrance,8.5,5300,1
WR,Adams Davante,7.9,5500,1
WR,Heyward-Bey Darrius,7.8,4500,1
WR,Maclin Jeremy,7.7,7600,1
WR,Shorts Cecil,7.7,5400,1
WR,Owusu Chris,7.5,4500,1
WR,Bailey Stedman,7.3,5000,1
WR,Cooks Brandin,7.3,7400,1
WR,Bryant Dez,7.3,8700,1
WR,Cooper Amari,7.2,7100,1
WR,Jackson Vincent,7.1,7200,1
WR,Baldwin Doug,7,6100,1
WR,Beckham Jr. Odell,6.9,8900,1
WR,Wilson Marquess,6.9,4500,1
WR,Hurns Allen,6.5,4600,1
WR,Ginn Jr. Ted,6.4,4500,1
WR,Crabtree Michael,6.2,5600,1
WR,Boldin Anquan,5.6,6600,1
WR,Roberts Andre,5.1,4500,1
WR,Beasley Cole,4.9,5000,1
WR,Johnson Calvin,4.9,8500,1
WR,Britt Kenny,4.7,5400,1
WR,Colston Marques,4.4,5500,1
WR,Tate Golden,4.4,7100,1
WR,Sanu Mohamed,4.4,5200,1
WR,Johnson Andre,4.4,6900,1
WR,Jennings Greg,4.4,4900,1
WR,Cooper Riley,4,4900,1
WR,Wilson Albert,4,4500,1
WR,Hawkins Andrew,3.9,4700,1
WR,Randle Rueben,3.8,5300,1
WR,Woods Robert,3.7,5400,1
WR,Johnson Charles,3.7,5600,1
WR,Parker Preston,3.6,4600,1
WR,Dorsett Phillip,3.5,4600,1
WR,Brown Marlon,3.5,4500,1
WR,Norwood Jordan,3.5,4500,1
WR,Floyd Malcom,3.4,5900,1
WR,Amendola Danny,3.4,5600,1
WR,Mumphery Keith,3.3,4500,1
WR,Wright Jarius,3.2,5300,1
WR,Robinson Allen,3.2,6100,1
WR,Austin Miles,3.2,5000,1
WR,Gabriel Taylor,3,4500,1
WR,Hartline Brian,3,4500,1
WR,Huff Josh,2.9,4500,1
WR,Jones Marvin,2.9,4500,1
WR,Roberts Seth,2.7,4500,1
WR,Walters Bryan,2.7,4500,1
WR,Moore Lance,2.7,4500,1
WR,Hankerson Leonard,2.6,4500,1
WR,Humphries Adam,2.4,4500,1
WR,Floyd Michael,2.3,6100,1
WR,Smith Steve,2.3,6700,1
WR,Brown Corey,2.3,4500,1
WR,Murphy Tyler,2.1,4500,1
WR,Grant Ryan,2,4500,1
WR,Stills Kenny,1.7,5400,1
WR,Thomas De'Anthony,1.6,4800,1
WR,Smith Torrey,1.6,6100,1
WR,Hunter Justin,1.6,4700,1
WR,Ellington Bruce,1.5,4500,1
WR,Dobson Aaron,1.4,4500,1
WR,Funchess Devin,1.4,4600,1
WR,Royal Eddie,1.3,5000,1
WR,Matthews Chris,1.3,4500,1
WR,Campanaro Michael,1.3,4500,1
WR,Streater Rod,1.3,4500,1
WR,Brown Jaron,1.3,5000,1
WR,Shepard Russell,1.1,4500,1
WR,Harris Dwayne,1.1,4500,1
WR,Agholor Nelson,1,5500,1
WR,Crowder Jamison,0.7,4500,1
WR,Patterson Cordarrelle,0.6,4900,1
WR,Caldwell Andre,0.6,4500,1
WR,Aiken Kamar,0.4,4600,1
TE,Gronkowski Rob,29.9,8100,1
TE,Eifert Tyler,26.9,5000,1
TE,Kelce Travis,25.6,6000,1
TE,Seferian-Jenkins Austin,25.5,4700,1
TE,Witten Jason,22,5800,1
TE,Fells Darren,16.2,4500,1
TE,Green Ladarius,15.9,5700,1
TE,Reed Jordan,15.8,5000,1
TE,Graham Jimmy,14.1,6900,1
TE,Bennett Martellus,14,6200,1
TE,Ebron Eric,13.3,5000,1
TE,Miller Heath,12.4,5500,1
TE,Walker Delanie,11.8,5400,1
TE,Kendricks Lance,11.2,4800,1
TE,Cook Jared,11,5200,1
TE,Cameron Jordan,9.3,5500,1
TE,Allen Dwayne,9.2,5400,1
TE,Rudolph Kyle,7.8,5300,1
TE,Escobar Gavin,7.8,4500,1
TE,Chandler Scott,6.6,5100,1
TE,Clay Charles,6.3,5000,1
TE,Davis Vernon,6.2,5300,1
TE,Ertz Zach,6.1,5400,1
TE,Celek Garrett,5.5,4500,1
TE,Rodgers Richard,5.3,4900,1
TE,Barnidge Gary,5.3,4500,1
TE,Fells Daniel,4.8,4500,1
TE,Donnell Larry,3.6,5300,1
TE,Watson Ben,3.4,4600,1
TE,Tamme Jacob,3.4,4900,1
TE,Gillmore Crockett,3.3,4700,1
TE,Fleener Coby,3,5100,1
TE,Johnson Malcolm,2.4,4500,1
TE,Fasano Anthony,2.3,4500,1
TE,Williams Maxx,2,4800,1
TE,Fiedorowicz C.J.,2,4700,1
TE,Carrier Derek,1.8,4500,1
TE,Dray Jim,1.8,4500,1
TE,Olsen Greg,1.6,5900,1
TE,Daniels Owen,1.5,5500,1
TE,Dickson Ed,1.4,4600,1
TE,Celek Brent,1.1,4500,1
TE,McDonald Vance,1,4500,1
TE,Gresham Jermaine,0.9,5300,1
TE,Rivera Mychal,0.9,5100,1
TE,Toilolo Levine,0.9,4500,1
TE,Ellison Rhett,0.8,4600,1
TE,Walford Clive,0.6,4500,1
K,McManus Brandon,18,4500,1
K,Bryant Matt,17,5000,1
K,Brown Josh,17,4500,1
K,Gould Robbie,14,4800,1
K,Hocker Zach,14,4500,1
K,Carpenter Dan,11,4800,1
K,Hauschka Steven,11,5100,1
